DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,BOSCHLTD,28-APR-2026,36000.00
10-FEB-2026,FUTSTK,BOSCHLTD,30-APR-2026,36000.25
10-FEB-2026,FUTSTK,BPCL,24-FEB-2026,387.10
10-FEB-2026,FUTSTK,BPCL,26-FEB-2026,387.30
10-FEB-2026,FUTSTK,BPCL,25-MAR-2026,388.85
10-FEB-2026,FUTSTK,BPCL,30-MAR-2026,389.55
10-FEB-2026,FUTSTK,BPCL,28-APR-2026,390.00
10-FEB-2026,FUTSTK,BPCL,30-APR-2026,391.00
10-FEB-2026,FUTSTK,BRITANNIA,24-FEB-2026,5879.50
10-FEB-2026,FUTSTK,BRITANNIA,26-FEB-2026,5887.70
10-FEB-2026,FUTSTK,BRITANNIA,25-MAR-2026,5911.70
10-FEB-2026,FUTSTK,BRITANNIA,30-MAR-2026,5919.50
10-FEB-2026,FUTSTK,BRITANNIA,28-APR-2026,5942.00
10-FEB-2026,FUTSTK,BRITANNIA,30-APR-2026,5943.85
10-FEB-2026,FUTSTK,BSE,24-FEB-2026,3185.40
10-FEB-2026,FUTSTK,BSE,30-MAR-2026,3202.20
10-FEB-2026,FUTSTK,BSE,28-APR-2026,3217.80
10-FEB-2026,FUTSTK,CAMS,24-FEB-2026,745.20
10-FEB-2026,FUTSTK,CAMS,26-FEB-2026,744.40
10-FEB-2026,FUTSTK,CAMS,25-MAR-2026,747.45
10-FEB-2026,FUTSTK,CAMS,30-MAR-2026,746.20
10-FEB-2026,FUTSTK,CAMS,28-APR-2026,751.25
10-FEB-2026,FUTSTK,CAMS,30-APR-2026,751.50
10-FEB-2026,FUTSTK,CANBK,24-FEB-2026,147.35
10-FEB-2026,FUTSTK,CANBK,26-FEB-2026,147.20
10-FEB-2026,FUTSTK,CANBK,25-MAR-2026,147.80
10-FEB-2026,FUTSTK,CANBK,30-MAR-2026,147.92
10-FEB-2026,FUTSTK,CANBK,28-APR-2026,148.75
10-FEB-2026,FUTSTK,CANBK,30-APR-2026,148.60
10-FEB-2026,FUTSTK,CDSL,24-FEB-2026,1401.10
10-FEB-2026,FUTSTK,CDSL,30-MAR-2026,1399.50
10-FEB-2026,FUTSTK,CDSL,28-APR-2026,1401.20
